Weather,Walk
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,Yes
Sunny,No
Sunny,No
Sunny,No
Sunny,No
Sunny,No
Sunny,No
Sunny,No
Sunny,No
Sunny,No
Sunny,No
Rainy,Yes
Rainy,Yes
Rainy,Yes
Rainy,Yes
Rainy,Yes
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
Rainy,No
